StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Session,Control1,Control2,S_A1a_1,S_A1b_1,S_A2a_1,S_A2b_1,S_A3a_1,S_A3b_1,S_A4a_1,S_A4b_1,S_A5a_1,S_A5b_1,S_A6a_1,S_A6b_1,End_Aa_1,End_Ab_1,F_B1a_1,F_B1b_1,F_B2a_1,F_B2b_1,F_B3a_1,F_B3b_1,S_B1a_1,S_B1b_1,S_B2a_1,S_B2b_1,S_B3a_1,S_B3b_1,Q397_1,Q398_1,F_C1a_1,F_C1b_1,F_C2a_1,F_C2b_1,F_C3a_1,F_C3b_1,F_C4a_1,F_C4b_1,F_C5a_1,F_C5b_1,F_C6a_1,F_C6b_1,EndCa_1,EndCb_1,Q134,Q68,Q39,Q67,Q69,Q70,Q71,Q35_1,Q36_1,Receiver,FL_629_DO,FL_770_DO,FL_768_DO,FL_769_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Session ID,Q1. What was your partners starting bonus?,"Q2. If your partner took £0.05 from you, how much would you keep?",Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money overall in the game. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus overall in the game. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner'sdecision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money overall in the game. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus overall in the game. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner'sdecision was driven by their desire to earn money in the trial. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus in the trial. - 1,Please use the slider below to indicate the extent to which you believe your partner's decision was driven by their desire to earn money overall in the game. - 1,Please use the slider below to indicate to what extent your partner's decision was driven by their desire to reduce your bonus overall in the game. - 1,Please choose an avatar,Please indicate your decision below.,Please indicate your decision below.,Please indicate your decision below.,Please indicate your decision below.,Please indicate your decision below.,Please indicate your decision below.,"Thanks - it's nearly the end! Before you go, it would be very helpful if you could answer some additional questions to help with our research. 

Unlike some other research labs, the Cultural and Social Neuroscience lab does not use deception. All participants are real. Nevertheless, for our own purposes, it is helpful to know to what extent you believed that the other player really existed. - Please choose one",To what extent have you participated in tasks similar to this before? - Please choose one,Receiver,FL_629 - Block Randomizer - Display Order,FL_770 - Block Randomizer - Display Order,FL_768 - Block Randomizer - Display Order,FL_769 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID395_TEXT""}","{""ImportId"":""QID408_TEXT""}","{""ImportId"":""QID373""}","{""ImportId"":""QID374""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID181_1""}","{""ImportId"":""QID183_1""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID187_1""}","{""ImportId"":""QID189_1""}","{""ImportId"":""QID190_1""}","{""ImportId"":""QID192_1""}","{""ImportId"":""QID193_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID205_1""}","{""ImportId"":""QID207_1""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID217_1""}","{""ImportId"":""QID219_1""}","{""ImportId"":""QID220_1""}","{""ImportId"":""QID397_1""}","{""ImportId"":""QID398_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID234_1""}","{""ImportId"":""QID235_1""}","{""ImportId"":""QID237_1""}","{""ImportId"":""QID238_1""}","{""ImportId"":""QID240_1""}","{""ImportId"":""QID241_1""}","{""ImportId"":""QID243_1""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID247_1""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID407""}","{""ImportId"":""QID125""}","{""ImportId"":""QID65""}","{""ImportId"":""QID124""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""Receiver""}","{""ImportId"":""FL_629_DO""}","{""ImportId"":""FL_770_DO""}","{""ImportId"":""FL_768_DO""}","{""ImportId"":""FL_769_DO""}"
2018-09-25 14:05:29,2018-09-25 14:15:18,IP Address,213.205.251.31,100,588,True,2018-09-25 14:15:19,R_1DZHc4pnRDogjsu,,,,,51.5500030517578125,0.1667022705078125,anonymous,EN,1008,1,£0.00,£0.05,74,6,86,7,92,8,90,12,98,18,81,10,94,6,10,0,13,0,12,0,91,9,82,0,89,5,46,0,11,0,8,0,8,0,0,0,0,0,0,0,0,0,,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,4,4,PlayerStingy,FL_628,stingy_taking_PlayerB3|stingy_taking_PlayerB1|fair_taking_PlayerB1|fair_taking_PlayerB3|stingy_taking_PlayerB2|fair_taking_PlayerB2,,
2018-09-27 14:20:17,2018-09-27 14:28:01,IP Address,193.61.207.132,100,463,True,2018-09-27 14:28:01,R_3j0DztUxQ8wLnhs,,,,,51.5142059326171875,-0.0930938720703125,anonymous,EN,1007,1,£0.00,£0.05,100,75,97,85,95,78,97,85,94,81,95,85,95,87,96,5,94,4,100,3,99,3,99,2,100,1,98,4,94,4,92,7,95,3,95,9,97,5,97,3,75,5,,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,2,1 - Nothing like this scenario,PlayerEqual,FL_631,,fair_taking_PlayerB2|stingy_taking_PlayerB3|fair_taking_PlayerB1|stingy_taking_PlayerB2|fair_taking_PlayerB3|stingy_taking_PlayerB1,
2018-10-02 14:28:43,2018-10-02 14:33:43,IP Address,213.205.240.209,100,299,True,2018-10-02 14:33:44,R_3mfbRCPMY1CAT2d,,,,,51.5142059326171875,-0.0930938720703125,anonymous,EN,1008,2,£0.00,£0.05,84,48,98,49,100,36,100,43,100,38,100,16,100,11,17,0,32,0,0,0,100,0,88,0,100,0,51,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,4,5 - Exactly like this scenario,PlayerFair,FL_630,,,stingy_taking_PlayerB3|stingy_taking_PlayerB1|fair_taking_PlayerB3|stingy_taking_PlayerB2|fair_taking_PlayerB1|fair_taking_PlayerB2
2018-10-04 14:01:20,2018-10-04 14:10:48,IP Address,213.205.240.137,100,567,True,2018-10-04 14:10:49,R_3L6hyIsFbkd3zDE,,,,,51.5142059326171875,-0.0930938720703125,anonymous,EN,1007,2,£0.00,£0.05,98,95,95,96,95,95,95,95,96,90,94,84,92,92,21,8,59,14,24,11,89,82,94,99,90,83,64,64,14,13,3,4,4,3,15,15,32,10,8,10,12,0,,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,4,1 - Nothing like this scenario,PlayerStingy,FL_628,stingy_taking_PlayerB1|stingy_taking_PlayerB3|fair_taking_PlayerB2|fair_taking_PlayerB1|fair_taking_PlayerB3|stingy_taking_PlayerB2,,
2018-10-11 13:17:26,2018-10-11 13:22:38,IP Address,213.205.240.207,100,311,True,2018-10-11 13:22:38,R_2EaVJ9SmSCfkVNT,,,,,51.5142059326171875,-0.0930938720703125,anonymous,EN,1007,3,£0.00,£0.05,88,37,96,68,94,92,97,97,94,95,94,85,96,90,23,24,70,10,12,13,92,13,97,6,82,65,83,31,13,9,11,11,9,9,13,14,11,12,7,7,8,9,,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,5 -Very confident that other player was real,1 - Nothing like this scenario,PlayerEqual,FL_631,,fair_taking_PlayerB1|stingy_taking_PlayerB2|fair_taking_PlayerB3|stingy_taking_PlayerB1|fair_taking_PlayerB2|stingy_taking_PlayerB3,
2018-10-11 14:14:33,2018-10-11 14:18:23,IP Address,213.205.240.207,100,230,True,2018-10-11 14:18:24,R_3OdcYZ8ZXT6VLvH,,,,,51.5142059326171875,-0.0930938720703125,anonymous,EN,1008,3,£0.00,£0.05,81,40,75,33,77,25,77,24,93,32,90,28,100,25,10,5,50,51,5,8,94,18,80,8,81,12,80,8,4,2,7,7,9,10,6,7,6,7,1,2,0,0,,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,5 -Very confident that other player was real,5 - Exactly like this scenario,PlayerFair,FL_630,,,fair_taking_PlayerB1|fair_taking_PlayerB3|stingy_taking_PlayerB2|stingy_taking_PlayerB3|stingy_taking_PlayerB1|fair_taking_PlayerB2
2018-10-16 14:45:16,2018-10-16 14:52:36,IP Address,213.205.240.240,100,439,True,2018-10-16 14:52:36,R_a4ZW0wRHqU1l7wt,,,,,51.5160980224609375,-0.0948944091796875,anonymous,EN,1009,1,£0.05,£0.00,100,0,100,8,93,4,100,19,100,15,97,12,85,11,79,1,78,0,75,1,93,30,100,0,98,5,74,24,68,5,81,7,84,7,88,7,89,6,90,8,83,10,,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,3,1 - Nothing like this scenario,PlayerEqual,FL_631,,fair_taking_PlayerB2|stingy_taking_PlayerB2|fair_taking_PlayerB3|fair_taking_PlayerB1|stingy_taking_PlayerB1|stingy_taking_PlayerB3,
2018-10-23 14:09:52,2018-10-23 14:14:55,IP Address,193.61.207.147,100,303,True,2018-10-23 14:14:56,R_3hapSbjLrFfwwJn,,,,,51.5160980224609375,-0.0948944091796875,anonymous,EN,1009,2,£0.05,£0.05,100,28,100,27,100,17,100,17,100,18,100,24,100,17,91,0,80,0,85,0,100,10,100,11,100,21,89,9,63,0,73,0,84,0,79,0,85,0,86,0,87,1,,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,5 -Very confident that other player was real,5 - Exactly like this scenario,PlayerFair,FL_630,,,fair_taking_PlayerB3|stingy_taking_PlayerB3|fair_taking_PlayerB2|stingy_taking_PlayerB1|stingy_taking_PlayerB2|fair_taking_PlayerB1
2018-10-30 14:36:31,2018-10-30 14:40:21,IP Address,213.205.240.235,100,229,True,2018-10-30 14:43:22,R_6FmX1nU1LYjEndL,,,,,51.5160980224609375,-0.0948944091796875,anonymous,EN,1009,3,£0.05,£0.05,100,11,100,6,100,8,100,10,100,8,100,8,100,11,88,0,88,0,86,0,100,17,100,23,100,12,97,3,88,0,94,0,93,0,95,0,95,0,100,8,92,0,,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,I want to take £0.10 and leave £0.00 for Player 2,5 -Very confident that other player was real,5 - Exactly like this scenario,PlayerEqual,FL_631,,stingy_taking_PlayerB2|stingy_taking_PlayerB1|fair_taking_PlayerB3|fair_taking_PlayerB2|fair_taking_PlayerB1|stingy_taking_PlayerB3,
2018-11-01 13:48:42,2018-11-01 13:59:01,IP Address,213.205.240.215,100,619,True,2018-11-01 13:59:02,R_1C17xii2TyW6Zis,,,,,51.5160980224609375,-0.0948944091796875,anonymous,EN,1011,1,£0.00,£0.05,81,19,82,21,88,18,86,17,83,17,85,19,81,20,81,17,75,21,75,17,78,20,81,20,81,26,86,21,79,17,81,22,82,21,85,17,83,23,84,19,81,19,,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,5 -Very confident that other player was real,3,PlayerEqual,FL_631,,fair_taking_PlayerB2|fair_taking_PlayerB3|stingy_taking_PlayerB3|fair_taking_PlayerB1|stingy_taking_PlayerB1|stingy_taking_PlayerB2,
2018-11-08 14:15:53,2018-11-08 14:20:28,IP Address,213.205.251.68,100,274,True,2018-11-08 14:20:29,R_6mamuth5x1Hu5ZD,,,,,51.5460968017578125,0.1389007568359375,anonymous,EN,1011,2,£0.00,£0.05,90,10,86,9,91,13,88,13,89,13,89,11,90,13,86,10,91,17,91,15,96,12,87,17,88,14,90,12,93,14,92,15,94,14,91,11,88,14,90,10,89,7,,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,I want to take £0.05 and leave £0.05 for Player 2,5 -Very confident that other player was real,1 - Nothing like this scenario,PlayerEqual,FL_631,,fair_taking_PlayerB3|stingy_taking_PlayerB1|fair_taking_PlayerB2|stingy_taking_PlayerB3|fair_taking_PlayerB1|stingy_taking_PlayerB2,
